cub,mean,ci_2.5,ci_97.5,cub_number,litter_size,age_mat
1,10.046277257836739,8.443774752955623,12.081524113617448,2,twin,middle-aged
2,12.275456043190951,10.218753073993257,14.878227370861147,2,twin,middle-aged
3,15.831146045620976,13.686961661796628,18.19510215700496,2,twin,young
4,15.831146045620976,13.686961661796628,18.19510215700496,2,twin,young
5,11.835501851871564,10.230616042192684,13.530912468662649,2,twin,young
6,12.253225446643505,10.591696608387721,14.008474085203687,2,twin,young
7,11.684987431761785,9.127950300787166,14.695630438858943,1,singleton,young
8,12.301948058299791,10.678107291987162,14.075798835876222,2,twin,young
9,12.798964613661912,11.274145103734053,14.52431535800104,2,twin,young
10,12.127614280565108,10.532404218100902,13.878504661364689,2,twin,young
11,12.37511661282154,10.747351242960104,14.161739450372131,2,twin,young
12,12.953016020446494,11.421739031266814,14.637639117562792,2,twin,middle-aged
13,16.05577229556925,13.968982163893674,18.277359928310652,2,twin,middle-aged
14,10.724722297067911,9.324369288578518,12.307332253799617,2,twin,young
15,11.289181365334644,9.815125566924756,12.955086582946965,2,twin,young
16,8.636721959496175,7.474461041481536,9.94648983641844,2,twin,young
17,8.060940495529763,6.976163638716102,9.283390513990541,2,twin,young
18,14.943054566947046,11.625446349031641,18.923195165990833,1,singleton,middle-aged
19,9.895600716678143,8.777170769452256,11.140916887049123,2,twin,young
20,9.893755414249174,8.625715817129457,11.345416724289645,2,twin,young
21,12.216396545966887,10.801743429641503,13.780648243531637,2,twin,young
22,13.816162760319695,12.21625745018979,15.585256942089352,2,twin,young
23,12.144636674143946,10.574725594766075,13.914901487498902,2,twin,young
24,12.14669526507305,10.762587868173593,13.683754808365354,2,twin,young
25,12.372934435317832,10.890870423675082,13.932762458164326,2,twin,middle-aged
26,14.868647242057587,12.90579149438883,17.04014105234818,2,twin,middle-aged
27,15.139119708865952,13.495954369671718,16.933329579671227,2,twin,young
28,16.464090059497032,14.39119820073639,18.786366555544003,2,twin,young
29,16.16497006909357,14.386963474539922,18.13106325953531,2,twin,young
30,16.42640706187567,14.404733841037423,18.78903669233235,2,twin,young
31,11.504005821809141,10.263499114192667,12.871639095039724,2,twin,young
32,11.245934924284079,9.858894131774438,12.813103230384243,2,twin,young
33,10.711964616735083,8.792727702244012,12.967866745209392,1,singleton,young
34,10.909026357784635,9.527841993057597,12.39456178019128,2,twin,middle-aged
35,10.794194501386903,9.427548919446465,12.264092708820847,2,twin,middle-aged
36,13.091001080575742,11.569967893178555,14.783583052772267,2,twin,young
37,11.965019599161728,10.77732581303573,13.282127502087707,2,twin,young
38,11.660081211650805,10.47256801513953,12.983586018469667,2,twin,young
39,10.897272160421318,9.787446743121059,12.134192540625861,2,twin,young
40,12.900597951218632,11.381114635505023,14.603764916686936,2,twin,young
41,14.006591361242641,12.580893725547071,15.61742556280517,2,twin,young
42,11.319107858222537,9.929252050718329,12.878798098685204,2,twin,young
43,8.189984768357274,7.286690125736358,9.17039068355502,2,twin,young
44,11.025345735108884,9.831308940149068,12.29148518514197,2,twin,old
45,10.813319855587556,9.642245306684659,12.055110470043083,2,twin,old
46,13.380243587622594,11.988982490862798,14.921343534418096,2,twin,young
47,13.58732720181864,11.983280826166208,15.405191254689207,2,twin,young
48,14.016568332520638,12.253076249390078,15.986091251453416,2,twin,young
49,12.313009598765806,10.909716055446795,13.845013476876762,2,twin,young
50,9.51362943401295,8.38255842852267,10.756889347885053,2,twin,young
51,10.673828145477943,9.404821651513243,12.068705122017375,2,twin,young
52,11.71979845087361,9.910793921265217,13.74637403393855,2,twin,young
