cub,mean,ci_2.5,ci_97.5,cub_number,litter_size,age_mat,girth_mat
1,10.686757249747528,8.824172501815696,12.76045948771287,2,twin,middle-aged,117
2,12.934152971470322,10.577284622004523,15.62159460475807,2,twin,middle-aged,117
3,14.879779148612199,13.20622320612127,16.872596970834472,2,twin,young,111
4,14.879779148612199,13.20622320612127,16.872596970834472,2,twin,young,111
5,10.978385729851025,9.74458067121938,12.33015990937707,2,twin,young,108
6,11.365858167375182,10.088507047850653,12.76534202382568,2,twin,young,108
7,10.698668909770346,8.66948852757975,13.051491582544768,1,singleton,young,125
8,12.56298536027634,11.158600000906041,14.106722198160682,2,twin,young,110
9,13.20299613888869,11.646333990565413,14.868246834265596,2,twin,young,110
10,11.57904054050277,10.216853461788286,13.115918568978415,2,twin,young,120
11,11.81534749030895,10.425360675294169,13.383590376508588,2,twin,young,120
12,12.251013695064282,10.67340878153442,13.90182486862832,2,twin,middle-aged,111
13,15.040038203311147,13.082752322102294,17.119418559857934,2,twin,middle-aged,111
14,9.82494417253322,8.727955822074351,11.125226122968765,2,twin,young,115
15,10.342046497403391,9.187321917972998,11.710764339967122,2,twin,young,115
16,8.309796550520383,7.302746763636425,9.469046272558169,2,twin,young,123
17,7.755810113819026,6.815896979393997,8.837776521054288,2,twin,young,123
18,13.619750349325003,10.657439996407023,17.148556058646964,1,singleton,middle-aged,115
19,10.012628574897752,9.028117196643777,11.146212032337775,2,twin,young,108
20,9.910135069267497,8.954002964438612,11.02642347597513,2,twin,young,108
21,11.825555562672163,10.581003984425527,13.262362039779491,2,twin,young,103
22,13.374140219688757,11.96661164905268,14.999099925941094,2,twin,young,103
23,10.868363061796723,9.833926989611147,12.016037069712073,2,twin,young,100
24,10.981827275663893,9.914259702838763,12.230204531468212,2,twin,young,100
25,12.523118903681562,10.856876837029152,14.392526660639545,2,twin,middle-aged,123
26,14.905440697233898,12.736298881433495,17.319362313892395,2,twin,middle-aged,123
27,14.784464025877341,13.38714696527114,16.396928492712,2,twin,young,114
28,15.916951871997044,14.422034160332256,17.68424202250541,2,twin,young,114
29,16.360617008433053,14.765795348238846,18.119736930933712,2,twin,young,107
30,16.458301400874124,14.861877273227503,18.261001941218847,2,twin,young,107
31,11.719676116710358,10.599235926651817,13.001489118966758,2,twin,young,111
32,11.341879404708639,10.309043659026361,12.530324202749254,2,twin,young,111
33,10.38579837034957,8.750897376283344,12.20098004307761,1,singleton,young,114
34,10.02099614896474,8.77259208270007,11.372080172051302,2,twin,middle-aged,119
35,9.915511978975639,8.680249008145333,11.252374064977078,2,twin,middle-aged,119
36,13.09542181123527,12.038064494437133,14.374701932608328,2,twin,young,111
37,12.091124497213217,11.095986419717228,13.183910612836028,2,twin,young,111
38,12.130481942071782,11.131939425689321,13.211869009198095,2,twin,young,112
39,11.336899011282044,10.403681706251703,12.347541130091681,2,twin,young,112
40,13.119154837468653,12.032284474031167,14.358015632474078,2,twin,young,109
41,14.3889990284108,13.235745424104701,15.751339384493123,2,twin,young,109
42,10.186993307915927,9.331033990499753,11.143310248835151,2,twin,young,113
43,7.446105854072095,6.817230879916292,8.150200037642469,2,twin,young,113
44,10.451693383150843,9.287024693514573,12.035908302404778,2,twin,old,120
45,10.250699279628709,9.108428064793136,11.804448527358531,2,twin,old,120
46,13.813987462895264,12.643564881066562,15.22801211941256,2,twin,young,111
47,13.88658024170154,12.68199569056307,15.291450344150473,2,twin,young,111
48,12.455865546914971,11.376252811798762,13.732316538592267,2,twin,young,110
49,11.053731363064976,10.100211728725554,12.196293735898761,2,twin,young,110
50,8.991611412061133,8.193155457540758,9.922705881394492,2,twin,young,108
51,10.088149389141758,9.19232075724085,11.132791964491386,2,twin,young,108
52,12.559536984065181,10.806083974023853,14.534507488984602,2,twin,young,122
53,12.280538289299438,10.615173378746364,14.272070457685016,2,twin,young,122
54,13.310320220695003,10.919610000342214,16.179439863684124,1,singleton,young,102
55,12.083395401118121,10.303283198480093,13.943679014023795,2,twin,middle-aged,112
56,12.081040287517297,10.428514573685437,13.793381998764511,2,twin,middle-aged,112
57,13.896270278556118,11.467600631896191,16.53217648823697,1,singleton,old,111
58,26.43607514901686,19.593191131497207,34.89026506842647,3,triplet,young,112
59,12.55713569578301,9.306765787461172,16.572875907502578,3,triplet,young,112
60,12.362415577773373,10.518765023384066,14.59280990946322,1,singleton,young,108
61,14.39439895908721,12.2798066166803,16.679526941296015,1,singleton,young,116
62,3.8626948498132894,3.2927545196645807,4.486842092662949,1,singleton,young,117
63,10.92393038172715,9.208111380082633,12.698885306176084,1,singleton,young,116
64,13.265869163333441,11.259061549174103,15.59835913085636,1,singleton,young,110
65,10.305817018677432,9.0585883666796,11.648274174381232,2,twin,young,104
66,12.171136851812838,10.705780141726448,13.823124997496128,2,twin,young,104
67,12.167898276288184,10.171117760262655,14.268068286006148,1,singleton,young,110
68,10.943803701240924,9.395212466803969,12.624724706539745,2,twin,middle-aged,106
69,9.858929357042257,8.525791371312515,11.305390736184135,2,twin,middle-aged,106
70,26.529692871530855,21.581359905682927,32.9352052393787,1,singleton,middle-aged,107
71,11.40276218711581,10.070284396957335,12.909098065170857,2,twin,middle-aged,100
72,11.290523317467631,9.827754975722838,13.04965991378794,2,twin,middle-aged,100
73,7.0029897243247,5.782848833818533,8.443549260919625,1,singleton,old,107
74,11.283931130022232,10.058189865578635,12.694555963749814,2,twin,young,104
75,11.636553977835426,10.37250829887797,13.091260837616998,2,twin,young,104
76,15.195609360551217,12.18982834730418,18.559653422412307,1,singleton,middle-aged,122
77,13.726225559159783,12.300564493222607,15.435687517389544,2,twin,middle-aged,117
78,10.571825809201089,9.238707838277037,11.961665281266043,2,twin,middle-aged,117
79,10.440547809190171,9.468086147775873,11.5670872210934,2,twin,young,110
80,11.419349166301753,10.35571922412986,12.65150164807091,2,twin,young,110
81,11.52642557169973,9.771263565513491,13.591147924303037,1,singleton,old,106
82,14.664828457644658,13.154575480675128,16.376917786370118,2,twin,middle-aged,116
83,16.40323924504629,14.388280220803258,18.54788365002412,2,twin,middle-aged,116
84,15.102990238102537,13.221177675758659,17.06730172611858,2,twin,middle-aged,113
85,13.073149952138408,11.723191133471573,14.659709189072922,2,twin,middle-aged,113
86,13.861276672828303,12.14825160162877,15.648576807466837,2,twin,middle-aged,116
87,15.66926928232765,13.732806158362958,17.689695521484246,2,twin,middle-aged,116
88,12.984642776780221,11.620680179282594,14.408632679650363,2,twin,middle-aged,109
89,12.702367933806741,11.368056697124278,14.095401534440576,2,twin,middle-aged,109
90,11.702170728818814,10.272818476565348,13.24007393622707,3,triplet,middle-aged,116
91,9.090426425234616,8.155519622783274,10.196022103898015,3,triplet,middle-aged,116
92,9.001669791399085,7.902168058896421,10.184672258636205,3,triplet,middle-aged,116
93,13.105357654801466,11.252060544526985,15.17139813161691,1,singleton,young,107
94,11.969909548127964,10.319922991867081,13.758117274106297,3,triplet,middle-aged,127
95,8.229312814337973,7.094947056908616,9.458705625948076,3,triplet,middle-aged,127
96,8.562415825186807,7.482031244939945,9.788768885944451,3,triplet,middle-aged,127
97,18.25905230378961,15.261643337667508,21.842444421098428,1,singleton,middle-aged,107
98,11.643230182335925,10.437443196700102,12.955048592056592,2,twin,young,99
99,12.562432565151916,11.261451870123791,13.97781558616632,2,twin,young,99
100,13.088348187150274,11.82685044401027,14.37463407286248,2,twin,young,111
101,12.953550806958035,11.737854967217393,14.177158528920202,2,twin,young,111
102,11.981886271530918,10.666545462854645,13.450723452319894,2,twin,old,105
103,11.70323775358834,10.418486266044074,13.137915930172921,2,twin,old,105
104,9.952802188636232,8.564149832079995,11.472561525294065,1,singleton,young,108
105,13.18207102871473,11.822175426659829,14.58855059003798,2,twin,young,120
106,14.873130154652102,13.365444101082547,16.5093817524901,2,twin,young,120
107,21.292813830866173,18.307092820434242,24.698209055803066,1,singleton,middle-aged,114
108,13.109835871986304,10.233561366673536,16.391876197807626,1,singleton,middle-aged,132
109,13.018050695789517,11.22239511219903,14.798889661133549,2,twin,middle-aged,102
110,12.700537264184899,10.948678158242956,14.437941132813222,2,twin,middle-aged,102
111,14.73087709633156,12.811776801576436,16.811549258675413,2,twin,middle-aged,117
112,14.247897519402658,12.391718545787043,16.2603509223254,2,twin,middle-aged,117
113,9.963420648928938,8.682493263118877,11.45242954410312,2,twin,old,102
114,10.842546000305022,9.448595609864661,12.46293803328869,2,twin,old,102
115,11.911121912508756,10.48599902340041,13.532521008947386,2,twin,middle-aged,116
116,11.281059429694414,9.788241754090269,12.927482781827715,2,twin,middle-aged,116
117,11.027060925847827,9.209178463583095,12.85242240160744,1,singleton,young,105
118,10.889223292631945,9.460672883114848,12.448737707354113,2,twin,middle-aged,94
119,13.11214884619571,11.277774649147922,15.187826498908871,2,twin,middle-aged,94
120,10.004771054741664,8.743930552919014,11.498836310708375,2,twin,young,101
121,9.682036504588707,8.4618682770184,11.127906107137138,2,twin,young,101
122,15.523534117690216,13.55578070449323,17.80732965719636,2,twin,young,104
123,13.795882391097756,12.106729928791335,15.864786271094268,2,twin,young,104
124,16.59279542487345,13.370282006826324,20.27184016185571,1,singleton,old,108
125,18.292226167686458,14.862979531584804,22.095417950100526,1,singleton,young,99
126,10.56224696727763,8.654928415229026,12.659250487270866,1,singleton,young,104
127,12.06546950193669,10.953655382004936,13.247218127775836,2,twin,middle-aged,97
128,12.06546950193669,10.953655382004936,13.247218127775836,2,twin,middle-aged,97
