cub,mean,ci_2.5,ci_97.5,cub_number,litter_size,age_mat,length_mat
1,10.385438788067,8.6263000195823,12.361857350903712,2,twin,middle-aged,202
2,12.568592545788379,10.380821047716008,15.099341917694241,2,twin,middle-aged,202
3,15.861263823542007,14.145236729245449,17.98623495362337,2,twin,young,189
4,15.861263823542007,14.145236729245449,17.98623495362337,2,twin,young,189
5,11.720871225564991,10.399947884572821,13.172000719242563,2,twin,young,187
6,12.134549033526111,10.767004868734215,13.636894862274655,2,twin,young,187
7,13.137283605895664,10.874063164192325,15.760614378340444,1,singleton,young,188
8,12.293174666190493,10.865210269490927,13.830902268040672,2,twin,young,197
9,12.919600522646105,11.356819071846084,14.604898229497525,2,twin,young,197
10,13.175207292851871,11.756511135969554,14.81015815178986,2,twin,young,188
11,13.444089074338645,11.996439934662812,15.112406277336591,2,twin,young,188
12,12.931098652271915,11.313773270777798,14.612433322138447,2,twin,middle-aged,190
13,15.875434168369402,13.784525692043001,17.98294381695723,2,twin,middle-aged,190
14,11.170368871128831,9.950984959246094,12.555702363623112,2,twin,young,185
15,11.758283022240876,10.47472100973273,13.216528803813803,2,twin,young,185
16,9.630834361561426,8.514393134042272,10.875455245789395,2,twin,young,188
17,8.988778737457332,7.946766925106119,10.1504248960701,2,twin,young,188
18,15.645069597342694,12.263970981826503,19.73534014884521,1,singleton,middle-aged,182
19,9.871699861240042,8.917966767007904,10.986321220946273,2,twin,young,195
20,9.77073128290742,8.833647739886002,10.877533745948522,2,twin,young,195
21,11.764119641931325,10.640603608673462,13.010767079076267,2,twin,young,191
22,13.304659118850905,12.03401598599975,14.714558006098162,2,twin,young,191
23,11.268777458638528,10.24918065015329,12.480342201149986,2,twin,young,185
24,11.385215103193353,10.386461127650223,12.584770430803994,2,twin,young,185
25,13.533597498933776,12.006250156416177,15.339659083316228,2,twin,middle-aged,195
26,16.107351803119805,13.985487393229855,18.43342817479163,2,twin,middle-aged,195
27,15.895705476711235,14.368342116026007,17.55615676797784,2,twin,young,190
28,17.113640841889712,15.45976951619408,19.013480028096467,2,twin,young,190
